Reaction,Pvalue,Padj,Reject,FC
R02570N_m,5.569062975843453e-05,8.42345726095318e-05,True,0.21934041498217682
R04954_c,1.1316933501002751e-08,2.0824473564345178e-08,True,0.20151573343794835
R00345_c_reverse,0.0002704973445409677,0.00039362027378030476,True,0.3329702094495019
TCM3_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.3282136425333067
TCM12_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.2988563915612166
R05071_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.4790648412888893
R01655_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.37230620412171
Ex3_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.31707645362639686
R00291_c_reverse,1.4334782434603487e-07,2.459056173740923e-07,True,0.15648535527764237
R00372_x,9.54696510144592e-06,1.4977023318996947e-05,True,0.18405776458665807
R00644_tmx,0.0335416594061465,0.043286178193864905,True,0.012500449656462617
R02029_c,5.569062975843453e-05,8.42345726095318e-05,True,0.23012997132572152
R07613_c,0.012298612583953778,0.016458819800513197,True,0.13152900012370533
R02090_c_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.2518308894768925
R01830_p_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.37878586820269244
TCM5,1.4508889103849681e-11,3.842730879806213e-11,True,0.29622122256606603
R04969_p_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.529452616389448
TCV3_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.1691399514226223
R00889_c_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.2229600124466727
R07765_c_reverse,1.4334782434603487e-07,2.459056173740923e-07,True,0.3118115188154368
TCM18_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.28200334032618307
R04428_c,1.1316933501002751e-08,2.0824473564345178e-08,True,0.36579672582878525
R04568_c,0.0335416594061465,0.043286178193864905,True,0.08853790834108967
TCP11_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.2790567408938438
R02340_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.3122651535269966
R00734_c,5.569062975843453e-05,8.42345726095318e-05,True,0.23597196003136148
R05617_c_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.4535713265809027
R05066_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.5681895198365974
R01773_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.33149661130680197
R02086_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.2646748822886481
R02571_c,5.569062975843453e-05,8.42345726095318e-05,True,0.1699534021388075
R01975_x,1.4508889103849681e-11,3.842730879806213e-11,True,0.2763993775050026
R01827_p_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.2836648411623613
R02147_c,9.54696510144592e-06,1.4977023318996947e-05,True,0.19398985380260667
TCP23,1.4508889103849681e-11,3.842730879806213e-11,True,0.282896330573831
R01830_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.2788504324105496
R04743_x,0.001115801546231492,0.0015626158822224213,True,0.18912362930791604
R00191_c,0.0335416594061465,0.043286178193864905,True,0.24553056991406833
R02749_c_reverse,0.0002704973445409677,0.00039362027378030476,True,0.22267905793564002
R04744_x_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.45718550370699285
R06847_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.2471830888879154
R00948_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.24197415403814132
R01706_c_reverse,0.0335416594061465,0.043286178193864905,True,0.12014276781500885
R07673_c_reverse,1.1316933501002751e-08,2.0824473564345178e-08,True,0.27945344319025367
TCP5_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.25934755120824826
R02058_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.2430714722032192
